name
4th Earl of Abingdon
A. J. Potter
A. R. Rahman
Aaron Avshalomov
Aaron Copland
Aaron Jay Kernis
Aarre Merikanto
Abraham Wolfe Binder
Abraham van den Kerckhoven
Abram Chasins
Achille Simonetti
Adalbert Gyrowetz
Adam Darr
Adam Drese
Adam Falckenhagen
Adam Gumpelzhaimer
Adam Jarzębski
Adam Krieger
Adam Václav Michna z Otradovic
Adam de la Halle
Adam von Fulda
Adam z Wągrowca
Adelaide Orsola Appignani
Adi Smolar
Adolf Busch
Adolf Fredrik Lindblad
Adolf Müller Sr.
Adolf Terschak
Adolf von Henselt
Adolph Green
Adolphe Adam
Adolphe Blanc
Adolphe Gutmann
Adolphus Hailstork
Adrian Batten
Adrian Le Roy
Adrian Willaert
Adrian von Ziegler
Adriana Basile
Adriana Hölszky
Adriano Banchieri
Adriano Lualdi
Adrianus Petit Coclico
Adrien Basin
Adrien de La Fage
Adrien-François Servais
Agathe Backer-Grøndahl
Agnes Zimmermann
Agostino Agazzari
Agostino Steffani
Agustín Bardi
Agustín Barrios
Agustín Fernández
Ahmed Adnan Saygun
Ahn Eak-tai
Ailís Ní Ríain
Aimé Maillart
Airat Ichmouratov
Akira Ifukube
Alamanda de Castelnau
Alan Bullard
Alan Bush
Alan Holley
Alan Hovhaness
Alan John
Alan Menken
Alan Rawsthorne
Alan Ridout
Alan Shulman
Alban Berg
Albena Petrovic-Vratchanska
Albert Arlen
Albert Becker
Albert Christoph Dies
Albert Coates
Albert Dietrich
Albert Dupuis
Albert E. Brumley
Albert Grisar
Albert Hammond
Albert Huybrechts
Albert Ketèlbey
Albert Lortzing
Albert Roussel
Albert Siklós
Albert Szirmai
Alberto Bimboni
Alberto Franchetti
Alberto Ginastera
Alberto Nepomuceno
Alberto da Ripa
Albéric Magnard
Aldine Silliman Kieffer
Aldo Clementi
Aldo Finzi
Alec Templeton
Alec Wilder
Aleksander Zarzycki
Alessandro Besozzi
Alessandro Grandi
Alessandro Longo
Alessandro Marcello
Alessandro Melani
Alessandro Nini
Alessandro Piccinini
Alessandro Poglietti
Alessandro Rolla
Alessandro Scarlatti
Alessandro Solbiati
Alessandro Stradella
Alessandro Striggio
Alex Otterlei
Alex Shapiro
Alex Wurman
Alexander Abramsky
Alexander Agricola
Alexander Alyabyev
Alexander Arutiunian
Alexander Borodin
Alexander Campbell
Alexander Damascene
Alexander Dargomyzhsky
Alexander Dreyschock
Alexander Egorovich Varlamov
Alexander Glazunov
Alexander Godunov
Alexander Goedicke
Alexander Goehr
Alexander Goldenweiser
Alexander Gretchaninov
Alexander Knaifel
Alexander Mackenzie
Alexander Mosolov
Alexander Moyzes
Alexander Rahbari
Alexander Reinagle
Alexander Scriabin
Alexander Serov
Alexander Shchetynsky
Alexander Spendiaryan
Alexander Taneyev
Alexander Tcherepnin
Alexander Utendal
Alexander Veprik
Alexander Vladimirovich Varlamov
Alexander Voormolen
Alexander Vustin
Alexander von Fielitz
Alexander von Zemlinsky
Alexandra du Bois
Alexandre Barjansky
Alexandre Charles Lecocq
Alexandre Danilevsky
Alexandre Desplat
Alexandre Guilmant
Alexandre Luigini
Alexandre Pierre François Boëly
Alexandre Rabinovitch-Barakovsky
Alexandre Tansman
Alexei Fyodorovich Lvov
Alexei Haieff
Alexei Stanchinsky
Alexey Nikolayevich Titov
Alexey Verstovsky
Alexina Louie
Alexis Ffrench
Alexis Roland-Manuel
Alexis de Castillon
Alfonso Ferrabosco the elder
Alfonso Ferrabosco the younger
Alfonso Fontanelli
Alfonso Leng
Alfonso X of Castile
Alfred Bachelet
Alfred Bruneau
Alfred Burt
Alfred Desenclos
Alfred Hans Zoller
Alfred Hill
Alfred Holmes
Alfred Jaëll
Alfred Koerppen
Alfred La Liberté
Alfred Newman
Alfred Prinz
Alfred Quidant
Alfred Reynolds
Alfred Schnittke
Alfred Uhl
Alfredo Casella
Alfredo Catalani
Alfredo Diez Nieto
Alice Mary Smith
Alice Sauvrezis
Alice Shields
Alicia Adelaide Needham
Alistair Hinton
Alla Pavlova
Allan Pettersson
Allen Shearer
Allen Toussaint
Alma Deutscher
Alois Hába
Alois Ickstadt
Alonso Lobo
Alonso Mudarra
Aloys Fleischmann
Aloys Fleischmann 
Aloys Schmitt
Alphons Diepenbrock
Alphonse Hasselmans
"Alton Augustus Adams, Sr."
Alun Hoddinott
Alvin Curran
Alvin Etler
Alvin Lucier
Alvin Singleton
Amadeo Roldán
Amadeo Vives
"Amalia Catharina, Countess of Erbach"
"Amalie, Princess of Saxony"
Amancio Jacinto Alcorta
Amanda Ira Aldridge
Amaury du Closel
Ambrogio Minoja
Ambroise Thomas
Ambrose Lupo
Amilcare Ponchielli
Amy Beach
Amy Scurria
Amédée Méreaux
Amélie-Julie Candeille
Ana-Maria Avram
Ananias Davisson
Anatoly Lyadov
Anders Berglund
Anders Eliasson
Anders Koppel
Anders Nilsson
Andrea Antico
Andrea Falconieri
Andrea Gabrieli
Andrea Lorenzo Scartazzini
Andrea Luchesi
Andrea Zani
Andrea da Firenze
Andreas Armsdorff
Andreas Boltz
Andreas Chyliński
Andreas Düben
Andreas Hammerschmidt
Andreas Hofer
Andreas Kneller
Andreas Kunstein
Andreas Makris
Andreas Nemetz
Andreas Peter Berggreen
Andreas Pevernage
Andreas Raselius
Andreas Romberg
Andreas Werckmeister
Andrei Eshpai
Andrei Melitonovich Balanchivadze
Andrei Volkonsky
Andrew Carter
Andrew Imbrie
Andrew Lewis
Andrew Lloyd Webber
Andrew March
Andrew Norman
Andrew Schultz
André Bloch
André Boucourechliev
André Campra
André Caplet
André Cardinal Destouches
André Ernest Modeste Grétry
André Jolivet
André Laporte
André Mathieu
André Messager
André Previn
André Raison
André Ristic
André Souris
André Werner
Andrée Bonhomme
Andy Vores
Angela Ro Ro
Angelo Berardi
Angelo Francesco Lavagnino
Angelo Gilardino
Angelo Maria Benincori
Angelo Michele Bartolotti
Angelo Tarchi
Aniceto Ortega
Ann Cleare
Anna Amalia
Anna Bofill Levi
Anna Bon
Anna Clyne
Anne Boleyn
Anne Boyd
Anne Danican Philidor
Anne Louise Boyvin d'Hardancourt Brillon de Jouy
Anne Louise Brillon de Jouy
Anne van Schothorst
Anneli Arho
Annibale Stabile
Annie Patterson
Anselm Hüttenbrenner
Anthoine de Bertrand
Anthoni van Noordt
Anthony Collins
Anthony Gilbert
Anthony Holborne
Anthony Marinelli
Anthony Payne
Anthony Philip Heinrich
Antoine Boësset
Antoine Brumel
Antoine Busnois
Antoine Dauvergne
Antoine Forqueray
Antoine de Févin
Antoine de Longueval
Antoine-Frédéric Gresnick
Anton Arensky
Anton Bernhard Fürstenau
Anton Bruckner
Anton Cajetan Adlgasser
Anton Diabelli
Anton Eberl
Anton Emil Titl
Anton Ferdinand Tietz
Anton Fils
Anton Reicha
Anton Rubinstein
Anton Schweitzer
Anton Stamitz
Anton Urspruch
Anton Wallerstein
Anton Webern
Anton Zimmermann
Antonello da Caserta
Antonia Bembo
Antonino Barges
Antonio Bazzini
Antonio Bertali
Antonio Besozzi
Antonio Bioni
Antonio Braga
Antonio Brioschi
Antonio Brunelli
Antonio Buzzolla
Antonio Cagnoni
Antonio Caldara
Antonio Calegari
Antonio Casimir Cartellieri
